task_name;contract_name;category;list_type;points;time_spent_hours;date_done;month
Manage ABM [March];iCorps - Marketing Services;ABM;Deliverables;10;;2026-03-31 20:13:56.188+00;2026-03
Facilitate Client Meetings [March];iCorps - Marketing Services;Account Management;Deliverables;10;;2026-03-31 20:13:46.332+00;2026-03
Manage performance reporting [March];iCorps - Marketing Services;Performance/Reporting;Deliverables;5;;2026-03-31 20:13:42.058+00;2026-03
Manage web [March];iCorps - Marketing Services;Web Development;Deliverables;5;;2026-03-31 20:13:28.252+00;2026-03
Tech stack [March];iCorps - Marketing Services;Tech Stack/Ops;Deliverables;14;;2026-03-31 20:13:02.447+00;2026-03
Case study for Matt;Milestone Towers - Ongoing Marketing Services;Content Creation;ToDos;;;2026-03-31 20:11:10.632+00;2026-03
Manage SEO (March);Global Shared Services - Marketing Services;SEO/AEO;Deliverables;5;;2026-03-31 19:57:14.46+00;2026-03
Build Priority Forms (March);Aquatic Informatics - Ongoing Marketing Services;Web Development;Deliverables;20;;2026-03-31 19:51:57.324+00;2026-03
Manage ABM - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;ABM;Deliverables;10;;2026-03-31 19:08:39.581+00;2026-03
Manage web - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Web Development;Deliverables;5;;2026-03-31 19:08:20.446+00;2026-03
[Paid Media] Manage paid media - (March);Washington Speakers Bureau - Ongoing Marketing Services;Paid Media;Deliverables;20;;2026-03-31 19:08:12.705+00;2026-03
Send consultant's new email sequence flow for consultative sale messaging;Rugged Robotics - Marketing services;Content Creation;ToDos;;;2026-03-31 18:02:33.569+00;2026-03
Send over retargeting company/contact list for targeted LinkedIn campaigns;Rugged Robotics - Marketing services;ABM;ToDos;;;2026-03-31 18:02:33.569+00;2026-03
Create data center retargeting campaign design and messaging;Rugged Robotics - Marketing services;Design/Creative;ToDos;;;2026-03-31 18:02:33.569+00;2026-03
Transfer domain to Go Daddy - Deprioritize;VITAL - Marketing services;Web Development;Deliverables;;;2026-03-31 17:31:21.011+00;2026-03
Facilitate Client Meetings - March;Aquatic Informatics - Ongoing Marketing Services;Account Management;Deliverables;20;;2026-03-31 15:55:45.591+00;2026-03
Tech stack - March;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;6;;2026-03-31 15:55:40.486+00;2026-03
Validate Hubspot environment and cutover;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;100;;2026-03-31 15:55:34.381+00;2026-03
Tech stack (March);Global Shared Services - Marketing Services;Tech Stack/Ops;Deliverables;17;;2026-03-31 14:37:34.229+00;2026-03
Manage web (March);Global Shared Services - Marketing Services;Web Development;Deliverables;5;;2026-03-31 14:37:11.709+00;2026-03
Facilitate Client Meetings - March;Ponce Bank - Creative; Digital; and Website Retainer;Account Management;Deliverables;20;;2026-03-31 14:29:04.377+00;2026-03
Facilitate Client Meetings - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Account Management;Deliverables;10;;2026-03-31 13:51:07.216+00;2026-03
Facilitate Client Meetings (March);Techmode - Marketing services;Account Management;Deliverables;10;;2026-03-31 13:49:54.853+00;2026-03
Manage web (March);Techmode - Marketing services;Web Development;Deliverables;5;;2026-03-31 13:49:44.768+00;2026-03
Weekly Client Management - (March);Ease - Podcast Services;Account Management;ToDos;;;2026-03-31 13:49:38.191+00;2026-03
Facilitate Client Meetings (March);BioSafe - Marketing services;Account Management;Deliverables;10;;2026-03-31 13:49:31.113+00;2026-03
Manage web (March);BioSafe - Marketing services;Web Development;Deliverables;5;;2026-03-31 13:49:18.276+00;2026-03
Review Paid Media Plan;DocLib - Ongoing Services;Paid Media;ToDos;;;2026-03-31 13:13:20.528+00;2026-03
Review Paid Ad Designs;DocLib - Ongoing Services;Design/Creative;ToDos;;;2026-03-31 13:13:20.528+00;2026-03
Tech stack - March;DocLib - Ongoing Services;Tech Stack/Ops;Deliverables;15;;2026-03-31 13:06:22.481+00;2026-03
Facilitate Client Meetings - March;DocLib - Ongoing Services;Account Management;Deliverables;10;;2026-03-31 13:06:04.154+00;2026-03
Tech stack - March;AutoBytes - 2026 Services;Tech Stack/Ops;Deliverables;5;;2026-03-31 12:15:01.502+00;2026-03
Facilitate Client Meetings - March;Rezku POS - Ongoing Services - Post AGE;Account Management;Deliverables;5;;2026-03-31 11:35:43.086+00;2026-03
Develop thought leadership blog post - How to prevent HVAC breakdown;Rod Miller - Content marketing services;Content Creation;Deliverables;10;;2026-03-31 10:37:30.221+00;2026-03
Client review video ads;Bazaarvoice - Content marketing services;Video;ToDos;;;2026-03-31 10:21:47.291+00;2026-03
Facilitate Client Meetings (March);Global Shared Services - Marketing Services;Account Management;Deliverables;10;;2026-03-31 08:25:20.87+00;2026-03
Manage ABM (March);Global Shared Services - Marketing Services;ABM;Deliverables;10;;2026-03-31 08:24:50.305+00;2026-03
Remove Survey Monkey from April's Tech Stack;Planon - Marketing Services;Tech Stack/Ops;ToDos;;;2026-03-31 04:14:09.261+00;2026-03
HubSpot Cleanup;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;12;;2026-03-31 01:49:23.642+00;2026-03
March blog - Software is dying with agents;FoxyAI - Creative; digital; web services;Content Creation;ToDos;;;2026-03-31 01:36:19.492+00;2026-03
March Blog & Social Posts;FoxyAI - Creative; digital; web services;Content Creation;Deliverables;12;;2026-03-31 01:34:14.577+00;2026-03
Review Cybersecurity CVC - outreach sequence (v3);Ecosystems - Ongoing Marketing Services;Content Creation;ToDos;;;2026-03-30 22:12:23.041+00;2026-03
[HubSpot Reset Week 1]: Analyze Non-Marketing Contacts for ICP Opportunities;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;3;;2026-03-30 22:06:25.532+00;2026-03
Develop performance reporting dashboard;PTO Exchange - Marketing Services;Performance/Reporting;Deliverables;10;;2026-03-30 21:56:57.447+00;2026-03
Develop thought leadership content topics;Rugged Robotics - Marketing services;Strategy/Research;Deliverables;5;;2026-03-30 20:13:22.46+00;2026-03
Optimization on Google Ads: CTA to HomePage;ThreatMark - Marketing services;Paid Media;Deliverables;;0.2;2026-03-30 19:21:28.181+00;2026-03
Tech stack (March);Syncro - Content marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-30 19:14:47.335+00;2026-03
Update KTC Search LinkedIn;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Content Creation;ToDos;;;2026-03-30 19:11:57.953+00;2026-03
ABM Email Performance Analysis;Rugged Robotics - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-30 19:10:57.171+00;2026-03
[Management] Facilitate Client Meetings - (March);Washington Speakers Bureau - Ongoing Marketing Services;Account Management;Deliverables;20;;2026-03-30 18:59:20.8+00;2026-03
Manage performance reporting (March);Planon - Marketing Services;Performance/Reporting;Deliverables;5;;2026-03-30 17:34:54.539+00;2026-03
Hubspot & Paid Media Support - March;Powerhouse Gym - Creative; digital; website services;Tech Stack/Ops;Deliverables;6;;2026-03-30 17:34:51.744+00;2026-03
Facilitate Client Meetings - March;Powerhouse Gym - Creative; digital; website services;Account Management;Deliverables;10;;2026-03-30 17:34:30.424+00;2026-03
Tech stack - March;Acacia Advisors - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;15;;2026-03-30 17:34:17.848+00;2026-03
Facilitate Client Meetings - March;Acacia Advisors - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-03-30 17:34:14.706+00;2026-03
Facilitate Client Meetings - March;AutoBytes - 2026 Services;Account Management;Deliverables;10;;2026-03-30 17:33:17.765+00;2026-03
Manage web - March;FoxyAI - Creative; digital; web services;Web Development;Deliverables;5;;2026-03-30 17:33:15.597+00;2026-03
Facilitate Bi-Weekly Meetings (March);Numeric - Podcast services;Account Management;Deliverables;5;;2026-03-30 17:33:14.062+00;2026-03
Manage SEO (March);Numeric - Podcast services;SEO/AEO;Deliverables;5;;2026-03-30 17:33:06.356+00;2026-03
Tech stack (March);Numeric - Podcast services;Tech Stack/Ops;Deliverables;6;;2026-03-30 17:33:02.618+00;2026-03
Update Accounting Careers Board (March);Numeric - Podcast services;Web Development;Deliverables;6;;2026-03-30 17:32:58.153+00;2026-03
Tech Stack (March);Planon - Marketing Services;Tech Stack/Ops;Deliverables;24;;2026-03-30 17:32:55.153+00;2026-03
Facilitate Client Meetings (March);Planon - Marketing Services;Account Management;Deliverables;10;;2026-03-30 17:32:53.283+00;2026-03
Manage paid media - March;Powerhouse Gym - Creative; digital; website services;Paid Media;Deliverables;8;;2026-03-30 17:32:47.998+00;2026-03
Develop social content (Fahad's Page - March);Sedra Solutions - Marketing services;Content Creation;Deliverables;10;;2026-03-30 17:32:42.931+00;2026-03
Develop social content (Sedra's Page - March);Sedra Solutions - Marketing services;Content Creation;Deliverables;10;;2026-03-30 17:32:40.055+00;2026-03
Tech Stack (March);Sedra Solutions - Marketing services;Tech Stack/Ops;Deliverables;22;;2026-03-30 17:32:36.541+00;2026-03
Manage web (March);Sedra Solutions - Marketing services;Web Development;Deliverables;5;;2026-03-30 17:32:33.958+00;2026-03
Facilitate Client Meetings (March);Sedra Solutions - Marketing services;Account Management;Deliverables;10;;2026-03-30 17:32:31.314+00;2026-03
Manage ABM (March);Sedra Solutions - Marketing services;ABM;Deliverables;10;;2026-03-30 17:32:28.429+00;2026-03
Manage paid media (March);Sedra Solutions - Marketing services;Paid Media;Deliverables;8;;2026-03-30 17:32:26.031+00;2026-03
[SEO/AEO/GEO] Manage SEO - (March);Washington Speakers Bureau - Ongoing Marketing Services;SEO/AEO;Deliverables;5;;2026-03-30 16:38:04.57+00;2026-03
3.30.26 Meeting Notes;ThreatMark - Marketing services;Account Management;ToDos;;;2026-03-30 16:36:31.881+00;2026-03
Tech stack (March);Rezku POS - Ongoing Services - Post AGE;Tech Stack/Ops;Deliverables;19;;2026-03-30 16:02:46.668+00;2026-03
Manage web (March);VITAL - Marketing services;Web Development;Deliverables;5;;2026-03-30 15:47:20.264+00;2026-03
86e0fx836 - Tyfone - Digital Banking Podcast - Jamie Sumner;Tyfone - Content marketing services;Podcast;Deliverables;14;;2026-03-30 15:45:46.511+00;2026-03
86e0fx5z7 - Tyfone - Digital Banking Podcast - Robin Sims-Allen;Tyfone - Content marketing services;Podcast;Deliverables;14;;2026-03-30 15:45:41.408+00;2026-03
Manage performance reporting - March;ThreatMark - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-30 15:02:39.018+00;2026-03
Manage web - March;ThreatMark - Marketing services;Web Development;Deliverables;5;;2026-03-30 15:02:30.194+00;2026-03
Compile paid media receipts;PTO Exchange - Marketing Services;Paid Media;ToDos;;0.8;2026-03-30 15:01:12.249+00;2026-03
Develop slide deck or presentation - Carrier Deck;Milestone Towers - Ongoing Marketing Services;Design/Creative;Deliverables;15;;2026-03-30 14:40:11.085+00;2026-03
Distribute Episode - Parker Cox;VITAL - Marketing services;Podcast;Deliverables;0;;2026-03-30 14:35:15.318+00;2026-03
Create video ads for Bazaarvoice Summit;Bazaarvoice - Content marketing services;Video;Deliverables;20;;2026-03-30 14:30:43.636+00;2026-03
Manage paid media (March);Techmode - Marketing services;Paid Media;Deliverables;8;;2026-03-30 13:50:40.146+00;2026-03
Tech stack - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;5;;2026-03-30 13:33:41.132+00;2026-03
Facilitate Client Meetings (March);Ease - Podcast Services;Account Management;Deliverables;10;;2026-03-30 13:31:01.765+00;2026-03
86e0hfw8b - VITAL - The Flywheel Effect - Randy Warner;VITAL - Marketing services;Podcast;Deliverables;10;;2026-03-30 12:44:35.011+00;2026-03
DocLib Followups;DocLib - Ongoing Services;Other;ToDos;;;2026-03-30 01:25:53.543+00;2026-03
Update Follow-up Tasks workflow;Powerhouse Gym - Creative; digital; website services;Tech Stack/Ops;Deliverables;1;;2026-03-29 22:53:41.686+00;2026-03
Set up performance reporting;DocLib - Ongoing Services;Performance/Reporting;Deliverables;15;;2026-03-29 15:28:19.368+00;2026-03
Develop image ad creative package;DocLib - Ongoing Services;Design/Creative;Deliverables;10;;2026-03-29 15:00:54.386+00;2026-03
Conduct keyword and topic research;Wilburn - Content marketing services;SEO/AEO;ToDos;;1.0;2026-03-28 00:19:39.562+00;2026-03
Conduct keyword and topic research;Rod Miller - Content marketing services;SEO/AEO;ToDos;;1.0;2026-03-28 00:03:09.715+00;2026-03
Manage ABM (March);BioSafe - Marketing services;ABM;Deliverables;10;;2026-03-27 21:44:26.051+00;2026-03
Manage content (March);BioSafe - Marketing services;Content Creation;Deliverables;10;;2026-03-27 21:44:09.08+00;2026-03
Manage paid media (March);BioSafe - Marketing services;Paid Media;Deliverables;8;;2026-03-27 21:42:32.131+00;2026-03
Manage performance reporting (March);BioSafe - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-27 21:42:28.671+00;2026-03
Set up campaign [Lockton People & Culture Event];PTO Exchange - Marketing Services;Paid Media;Deliverables;10;;2026-03-27 21:36:50.65+00;2026-03
Set up Smartlead and HeyReach activity in HubSpot;Ecosystems - Ongoing Marketing Services;Tech Stack/Ops;ToDos;;5.0;2026-03-27 20:53:11.602+00;2026-03
Standalone short video - client request;ThreatMark - Marketing services;Video;Deliverables;15;1.0;2026-03-27 19:48:43.289+00;2026-03
Facilitate Client Meetings (March);Milestone Towers - Ongoing Marketing Services;Account Management;Deliverables;18;;2026-03-27 19:36:18.591+00;2026-03
Update ABM assets based on feedback;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;ABM;ToDos;;;2026-03-27 19:21:19.873+00;2026-03
Review Marketing Operations Plan Deck and Document;Washington Speakers Bureau - Ongoing Marketing Services;Strategy/Research;ToDos;;;2026-03-27 18:50:33.442+00;2026-03
Set up content & create graphics package;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;15;;2026-03-27 18:49:04.346+00;2026-03
Facilitate Client Meetings (March);Verisk - Marketing services;Account Management;Deliverables;10;;2026-03-27 17:47:15.228+00;2026-03
Create an Interview Video;VITAL - Marketing services;Video;Deliverables;15;;2026-03-27 17:36:11.942+00;2026-03
Facilitate Client Meetings (March);Hydrian - Marketing services;Account Management;Deliverables;10;;2026-03-27 16:50:07.349+00;2026-03
Tech stack [March];Ecosystems - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;9;;2026-03-27 16:38:13.09+00;2026-03
Tech stack (March);Hydrian - Marketing services;Tech Stack/Ops;Deliverables;21;;2026-03-27 16:37:47.344+00;2026-03
Update homepage meeting CTA: pop-up form;iCorps - Marketing Services;Web Development;ToDos;;0.8;2026-03-27 16:09:06.711+00;2026-03
Develop Paid Media Plan Document;Rezku POS - Ongoing Services - Post AGE;Paid Media;Deliverables;15;;2026-03-27 15:18:23.852+00;2026-03
Manage paid media (March);Rezku POS - Ongoing Services - Post AGE;Paid Media;Deliverables;8;;2026-03-27 15:02:29.756+00;2026-03
Develop ebook w/ design for Bazaarvoice Summit + sales messaging;Bazaarvoice - Content marketing services;Content Creation;Deliverables;35;;2026-03-27 11:58:36.317+00;2026-03
Facilitate Client Meetings [March];Ecosystems - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-03-27 11:29:10.411+00;2026-03
Develop ABM Plan Document [Security Companies];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;30;;2026-03-27 00:01:19.306+00;2026-03
Review new LinkedIn ads;Data Assessment Solutions - Ongoing Marketing Services;Paid Media;ToDos;;;2026-03-26 23:26:20.539+00;2026-03
Review email sequence: DACH ABM refresh;Data Assessment Solutions - Ongoing Marketing Services;ABM;ToDos;;;2026-03-26 23:26:20.539+00;2026-03
Tech stack - March;WeFixFreight - Marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-26 22:10:15.168+00;2026-03
Manage paid media - March;WeFixFreight - Marketing services;Paid Media;Deliverables;8;;2026-03-26 22:10:11.069+00;2026-03
Manage paid media - March;ThreatMark - Marketing services;Paid Media;Deliverables;8;;2026-03-26 21:46:38.744+00;2026-03
Tech Stack - March;ThreatMark - Marketing services;Tech Stack/Ops;Deliverables;16;;2026-03-26 21:44:00.258+00;2026-03
Set up paid media;ThreatMark - Marketing services;Paid Media;Deliverables;5;;2026-03-26 21:42:02.815+00;2026-03
ATX CVC Executive Forum - outreach sequences (v4);Ecosystems - Ongoing Marketing Services;ABM;ToDos;;;2026-03-26 21:29:03.372+00;2026-03
Facilitate Client Meetings - March;ThreatMark - Marketing services;Account Management;Deliverables;10;;2026-03-26 19:46:46.02+00;2026-03
Update LinkedIn Campaign Graphics;ThreatMark - Marketing services;Design/Creative;Deliverables;;;2026-03-26 18:22:12.909+00;2026-03
Review Updated Outreach Sequences;DocLib - Ongoing Services;ABM;ToDos;;;2026-03-26 15:30:26.798+00;2026-03
Replace link on website;VITAL - Marketing services;Web Development;ToDos;;0.2;2026-03-26 14:55:58.119+00;2026-03
Facilitate Client Meetings (March);NEACH - Content marketing services;Account Management;Deliverables;5;;2026-03-26 13:15:13.545+00;2026-03
Facilitate Client Meetings (March);Inside Tracker - Podcast services;Account Management;Deliverables;5;;2026-03-26 13:15:10.529+00;2026-03
Manage social (March);VITAL - Marketing services;Content Creation;Deliverables;10;;2026-03-26 12:34:38.474+00;2026-03
Facilitate Client Meetings (March);VITAL - Marketing services;Account Management;Deliverables;2;;2026-03-26 12:34:25.286+00;2026-03
Add Factors.ai script on DocLib Website;DocLib - Ongoing Services;Tech Stack/Ops;ToDos;;0.5;2026-03-26 09:59:37.428+00;2026-03
Develop thought leadership blog post - How do window AC units work (Deprioritized);Rod Miller - Content marketing services;Content Creation;Deliverables;0;;2026-03-26 09:44:59.07+00;2026-03
Look into Clay audience builder;Washington Speakers Bureau - Ongoing Marketing Services;Tech Stack/Ops;ToDos;;;2026-03-25 21:49:56.675+00;2026-03
Update onboarding package;ThreatMark - Marketing services;Account Management;ToDos;;;2026-03-25 21:39:56.207+00;2026-03
Schedule agent interview on Riverside with Nina;Washington Speakers Bureau - Ongoing Marketing Services;Podcast;ToDos;;;2026-03-25 21:36:59.869+00;2026-03
Initiate Website Transfer on Kinsta;WeFixFreight - Marketing services;Web Development;ToDos;;0.5;2026-03-25 21:02:50.487+00;2026-03
Manage web (March);Wilburn - Content marketing services;Web Development;Deliverables;5;;2026-03-25 19:39:41.891+00;2026-03
Manage web (March);Rod Miller - Content marketing services;Web Development;Deliverables;5;;2026-03-25 19:32:53.226+00;2026-03
Meeting: Reporting & Dashboard Training;PTO Exchange - Marketing Services;Performance/Reporting;Deliverables;2;;2026-03-25 19:08:37.844+00;2026-03
Add dates to lead status sheet;Agrippon - Marketing services;Tech Stack/Ops;ToDos;;;2026-03-25 19:08:04.937+00;2026-03
Review brochure;Hydrian - Marketing services;Design/Creative;ToDos;;;2026-03-25 18:58:18.314+00;2026-03
Put together thoughts on partnership strategy;Hydrian - Marketing services;Strategy/Research;ToDos;;;2026-03-25 17:31:57.542+00;2026-03
Develop SEO blog post - Professional office cleaning;Wilburn - Content marketing services;SEO/AEO;Deliverables;10;;2026-03-25 16:55:04.703+00;2026-03
Remove homepage webinar banner;PTO Exchange - Marketing Services;Web Development;ToDos;;0.3;2026-03-25 15:25:15.393+00;2026-03
Develop simple newsletter template;Milestone Towers - Ongoing Marketing Services;Content Creation;Deliverables;5;;2026-03-25 15:13:58.574+00;2026-03
Optimize SEO web page - Tissue Digester;BioSafe - Marketing services;SEO/AEO;Deliverables;18;;2026-03-25 15:03:53.709+00;2026-03
Update Meta descriptions - Custom Applications;BioSafe - Marketing services;SEO/AEO;Deliverables;2;;2026-03-25 15:01:25.879+00;2026-03
Create SEO blog inspired by transcript - thermal treatment;BioSafe - Marketing services;SEO/AEO;Deliverables;10;;2026-03-25 15:00:55.026+00;2026-03
Set up website URL mapping (redirects);Rugged Robotics - Marketing services;Web Development;Deliverables;3;;2026-03-25 14:00:41.778+00;2026-03
Look into Clay audience builder;Washington Speakers Bureau - Ongoing Marketing Services;Tech Stack/Ops;ToDos;;2.1;2026-03-25 13:51:40.335+00;2026-03
Edits to 86dzv6wup - Customer Testimonial Videos;ThreatMark - Marketing services;Video;ToDos;;;2026-03-25 13:27:51.935+00;2026-03
Develop product overview video;Ease - Podcast Services;Video;Deliverables;35;;2026-03-25 12:35:28.242+00;2026-03
Collect ABM unsubscribe list;Rugged Robotics - Marketing services;ABM;ToDos;;0.5;2026-03-25 12:22:02.191+00;2026-03
Facilitate Client Meetings (March);Syncro - Content marketing services;Account Management;Deliverables;2;;2026-03-25 11:56:53.494+00;2026-03
Questions about incoming leads: Partners;PTO Exchange - Marketing Services;Account Management;ToDos;;0.3;2026-03-25 11:02:46.612+00;2026-03
Prep for reporting meeting (3/25);PTO Exchange - Marketing Services;Performance/Reporting;ToDos;;;2026-03-24 23:08:34.658+00;2026-03
[OPS] Set up HubSpot: 1:1 ABM Campaign;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;10;;2026-03-24 21:49:21.92+00;2026-03
Export all Brokers: HubSpot -> Excel;PTO Exchange - Marketing Services;ABM;ToDos;;0.5;2026-03-24 20:57:59.187+00;2026-03
[Content] Manage content - (March);Washington Speakers Bureau - Ongoing Marketing Services;Content Creation;Deliverables;20;;2026-03-24 20:18:18.346+00;2026-03
ABM Industries: Historic Performance;iCorps - Marketing Services;Performance/Reporting;ToDos;;0.8;2026-03-24 19:56:37.37+00;2026-03
Approve 1:Few Contact List before Enrichment (23,000 contacts);PTO Exchange - Marketing Services;ABM;ToDos;;;2026-03-24 18:38:48.201+00;2026-03
Develop web page;DocLib - Ongoing Services;Web Development;Deliverables;12;;2026-03-24 18:23:57.986+00;2026-03
Develop Storylane demo to a new landing page;Agrippon - Marketing services;Web Development;ToDos;;1.5;2026-03-24 18:23:25.514+00;2026-03
Polish copy on toolkit;Ponce Bank - Creative; Digital; and Website Retainer;Content Creation;ToDos;;2.0;2026-03-24 17:13:34.41+00;2026-03
Review updated one-pager designs (Supplier portal);DocLib - Ongoing Services;Design/Creative;ToDos;;;2026-03-24 16:27:00.037+00;2026-03
Review Outreach Sequences;DocLib - Ongoing Services;ABM;ToDos;;;2026-03-24 16:26:57.372+00;2026-03
Develop graphics package for Bazaarvoice Summit - video ads;Bazaarvoice - Content marketing services;Design/Creative;Deliverables;25;;2026-03-24 15:25:51.285+00;2026-03
Schedule Marketing Operations Plan Review Call;Washington Speakers Bureau - Ongoing Marketing Services;Account Management;ToDos;;;2026-03-24 15:23:38.466+00;2026-03
[Leadership Lessons] Develop Content, Paid & Distribution Plan Document;Washington Speakers Bureau - Ongoing Marketing Services;Strategy/Research;Deliverables;20;;2026-03-24 15:17:11.31+00;2026-03
Set up ABM [ATX: Customer Value Community Executive Forum];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;10;;2026-03-24 15:01:15.939+00;2026-03
Manage paid media (March);Rod Miller - Content marketing services;Paid Media;Deliverables;8;;2026-03-24 11:40:01.147+00;2026-03
Update Channel Partners target list in HubSpot;PTO Exchange - Marketing Services;ABM;ToDos;;;2026-03-23 22:48:41.991+00;2026-03
Adjust dates in marketing performance dashboard;PTO Exchange - Marketing Services;Performance/Reporting;ToDos;;1.7;2026-03-23 22:22:09.197+00;2026-03
Provide LinkedIn 'Business Manager' and 'Page' access;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;Paid Media;ToDos;;;2026-03-23 21:37:41.504+00;2026-03
Develop social content - (March);BioSafe - Marketing services;Content Creation;Deliverables;8;;2026-03-23 21:20:51.704+00;2026-03
ATX CVC Executive Forum - outreach sequences (v3);Ecosystems - Ongoing Marketing Services;ABM;ToDos;;;2026-03-23 19:07:24.578+00;2026-03
Cybersecurity CVC - outreach sequence (v2);Ecosystems - Ongoing Marketing Services;ABM;ToDos;;;2026-03-23 18:53:43.952+00;2026-03
