task_name;contract_name;category;list_type;points;time_spent_hours;date_done;month
Manage SEO (March);Global Shared Services - Marketing Services;SEO/AEO;Deliverables;5;;2026-03-31 19:57:14.46+00;2026-03
Build Priority Forms (March);Aquatic Informatics - Ongoing Marketing Services;Web Development;Deliverables;20;;2026-03-31 19:51:57.324+00;2026-03
Manage ABM - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;ABM;Deliverables;10;;2026-03-31 19:08:39.581+00;2026-03
Manage web - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Web Development;Deliverables;5;;2026-03-31 19:08:20.446+00;2026-03
[Paid Media] Manage paid media - (March);Washington Speakers Bureau - Ongoing Marketing Services;Paid Media;Deliverables;20;;2026-03-31 19:08:12.705+00;2026-03
Transfer domain to Go Daddy - Deprioritize;VITAL - Marketing services;Web Development;Deliverables;;;2026-03-31 17:31:21.011+00;2026-03
Facilitate Client Meetings - March;Aquatic Informatics - Ongoing Marketing Services;Account Management;Deliverables;20;;2026-03-31 15:55:45.591+00;2026-03
Tech stack - March;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;6;;2026-03-31 15:55:40.486+00;2026-03
Validate Hubspot environment and cutover;Aquatic Informatics - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;100;;2026-03-31 15:55:34.381+00;2026-03
Tech stack (March);Global Shared Services - Marketing Services;Tech Stack/Ops;Deliverables;17;;2026-03-31 14:37:34.229+00;2026-03
Manage web (March);Global Shared Services - Marketing Services;Web Development;Deliverables;5;;2026-03-31 14:37:11.709+00;2026-03
Facilitate Client Meetings - March;Ponce Bank - Creative; Digital; and Website Retainer;Account Management;Deliverables;20;;2026-03-31 14:29:04.377+00;2026-03
Facilitate Client Meetings - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Account Management;Deliverables;10;;2026-03-31 13:51:07.216+00;2026-03
Facilitate Client Meetings (March);Techmode - Marketing services;Account Management;Deliverables;10;;2026-03-31 13:49:54.853+00;2026-03
Manage web (March);Techmode - Marketing services;Web Development;Deliverables;5;;2026-03-31 13:49:44.768+00;2026-03
Facilitate Client Meetings (March);BioSafe - Marketing services;Account Management;Deliverables;10;;2026-03-31 13:49:31.113+00;2026-03
Manage web (March);BioSafe - Marketing services;Web Development;Deliverables;5;;2026-03-31 13:49:18.276+00;2026-03
Tech stack - March;DocLib - Ongoing Services;Tech Stack/Ops;Deliverables;15;;2026-03-31 13:06:22.481+00;2026-03
Facilitate Client Meetings - March;DocLib - Ongoing Services;Account Management;Deliverables;10;;2026-03-31 13:06:04.154+00;2026-03
Tech stack - March;AutoBytes - 2026 Services;Tech Stack/Ops;Deliverables;5;;2026-03-31 12:15:01.502+00;2026-03
Facilitate Client Meetings - March;Rezku POS - Ongoing Services - Post AGE;Account Management;Deliverables;5;;2026-03-31 11:35:43.086+00;2026-03
Develop thought leadership blog post - How to prevent HVAC breakdown;Rod Miller - Content marketing services;Content Creation;Deliverables;10;;2026-03-31 10:37:30.221+00;2026-03
Facilitate Client Meetings (March);Global Shared Services - Marketing Services;Account Management;Deliverables;10;;2026-03-31 08:25:20.87+00;2026-03
Manage ABM (March);Global Shared Services - Marketing Services;ABM;Deliverables;10;;2026-03-31 08:24:50.305+00;2026-03
HubSpot Cleanup;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;12;;2026-03-31 01:49:23.642+00;2026-03
March Blog & Social Posts;FoxyAI - Creative; digital; web services;Content Creation;Deliverables;12;;2026-03-31 01:34:14.577+00;2026-03
[HubSpot Reset Week 1]: Analyze Non-Marketing Contacts for ICP Opportunities;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;3;;2026-03-30 22:06:25.532+00;2026-03
Develop performance reporting dashboard;PTO Exchange - Marketing Services;Performance/Reporting;Deliverables;10;;2026-03-30 21:56:57.447+00;2026-03
Develop thought leadership content topics;Rugged Robotics - Marketing services;Strategy/Research;Deliverables;5;;2026-03-30 20:13:22.46+00;2026-03
Optimization on Google Ads: CTA to HomePage;ThreatMark - Marketing services;Paid Media;Deliverables;;0.2;2026-03-30 19:21:28.181+00;2026-03
Tech stack (March);Syncro - Content marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-30 19:14:47.335+00;2026-03
ABM Email Performance Analysis;Rugged Robotics - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-30 19:10:57.171+00;2026-03
[Management] Facilitate Client Meetings - (March);Washington Speakers Bureau - Ongoing Marketing Services;Account Management;Deliverables;20;;2026-03-30 18:59:20.8+00;2026-03
Manage performance reporting (March);Planon - Marketing Services;Performance/Reporting;Deliverables;5;;2026-03-30 17:34:54.539+00;2026-03
Hubspot & Paid Media Support - March;Powerhouse Gym - Creative; digital; website services;Tech Stack/Ops;Deliverables;6;;2026-03-30 17:34:51.744+00;2026-03
Facilitate Client Meetings - March;Powerhouse Gym - Creative; digital; website services;Account Management;Deliverables;10;;2026-03-30 17:34:30.424+00;2026-03
Tech stack - March;Acacia Advisors - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;15;;2026-03-30 17:34:17.848+00;2026-03
Facilitate Client Meetings - March;Acacia Advisors - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-03-30 17:34:14.706+00;2026-03
Facilitate Client Meetings - March;AutoBytes - 2026 Services;Account Management;Deliverables;10;;2026-03-30 17:33:17.765+00;2026-03
Manage web - March;FoxyAI - Creative; digital; web services;Web Development;Deliverables;5;;2026-03-30 17:33:15.597+00;2026-03
Facilitate Bi-Weekly Meetings (March);Numeric - Podcast services;Account Management;Deliverables;5;;2026-03-30 17:33:14.062+00;2026-03
Manage SEO (March);Numeric - Podcast services;SEO/AEO;Deliverables;5;;2026-03-30 17:33:06.356+00;2026-03
Tech stack (March);Numeric - Podcast services;Tech Stack/Ops;Deliverables;6;;2026-03-30 17:33:02.618+00;2026-03
Update Accounting Careers Board (March);Numeric - Podcast services;Web Development;Deliverables;6;;2026-03-30 17:32:58.153+00;2026-03
Tech Stack (March);Planon - Marketing Services;Tech Stack/Ops;Deliverables;24;;2026-03-30 17:32:55.153+00;2026-03
Facilitate Client Meetings (March);Planon - Marketing Services;Account Management;Deliverables;10;;2026-03-30 17:32:53.283+00;2026-03
Manage paid media - March;Powerhouse Gym - Creative; digital; website services;Paid Media;Deliverables;8;;2026-03-30 17:32:47.998+00;2026-03
Develop social content (Fahad's Page - March);Sedra Solutions - Marketing services;Content Creation;Deliverables;10;;2026-03-30 17:32:42.931+00;2026-03
Develop social content (Sedra's Page - March);Sedra Solutions - Marketing services;Content Creation;Deliverables;10;;2026-03-30 17:32:40.055+00;2026-03
Tech Stack (March);Sedra Solutions - Marketing services;Tech Stack/Ops;Deliverables;22;;2026-03-30 17:32:36.541+00;2026-03
Manage web (March);Sedra Solutions - Marketing services;Web Development;Deliverables;5;;2026-03-30 17:32:33.958+00;2026-03
Facilitate Client Meetings (March);Sedra Solutions - Marketing services;Account Management;Deliverables;10;;2026-03-30 17:32:31.314+00;2026-03
Manage ABM (March);Sedra Solutions - Marketing services;ABM;Deliverables;10;;2026-03-30 17:32:28.429+00;2026-03
Manage paid media (March);Sedra Solutions - Marketing services;Paid Media;Deliverables;8;;2026-03-30 17:32:26.031+00;2026-03
[SEO/AEO/GEO] Manage SEO - (March);Washington Speakers Bureau - Ongoing Marketing Services;SEO/AEO;Deliverables;5;;2026-03-30 16:38:04.57+00;2026-03
Tech stack (March);Rezku POS - Ongoing Services - Post AGE;Tech Stack/Ops;Deliverables;19;;2026-03-30 16:02:46.668+00;2026-03
Manage web (March);VITAL - Marketing services;Web Development;Deliverables;5;;2026-03-30 15:47:20.264+00;2026-03
86e0fx836 - Tyfone - Digital Banking Podcast - Jamie Sumner;Tyfone - Content marketing services;Podcast;Deliverables;14;;2026-03-30 15:45:46.511+00;2026-03
86e0fx5z7 - Tyfone - Digital Banking Podcast - Robin Sims-Allen;Tyfone - Content marketing services;Podcast;Deliverables;14;;2026-03-30 15:45:41.408+00;2026-03
Manage performance reporting - March;ThreatMark - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-30 15:02:39.018+00;2026-03
Manage web - March;ThreatMark - Marketing services;Web Development;Deliverables;5;;2026-03-30 15:02:30.194+00;2026-03
Develop slide deck or presentation - Carrier Deck;Milestone Towers - Ongoing Marketing Services;Design/Creative;Deliverables;15;;2026-03-30 14:40:11.085+00;2026-03
Distribute Episode - Parker Cox;VITAL - Marketing services;Podcast;Deliverables;0;;2026-03-30 14:35:15.318+00;2026-03
Create video ads for Bazaarvoice Summit;Bazaarvoice - Content marketing services;Video;Deliverables;20;;2026-03-30 14:30:43.636+00;2026-03
Manage paid media (March);Techmode - Marketing services;Paid Media;Deliverables;8;;2026-03-30 13:50:40.146+00;2026-03
Tech stack - March;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;5;;2026-03-30 13:33:41.132+00;2026-03
Facilitate Client Meetings (March);Ease - Podcast Services;Account Management;Deliverables;10;;2026-03-30 13:31:01.765+00;2026-03
86e0hfw8b - VITAL - The Flywheel Effect - Randy Warner;VITAL - Marketing services;Podcast;Deliverables;10;;2026-03-30 12:44:35.011+00;2026-03
Update Follow-up Tasks workflow;Powerhouse Gym - Creative; digital; website services;Tech Stack/Ops;Deliverables;1;;2026-03-29 22:53:41.686+00;2026-03
Set up performance reporting;DocLib - Ongoing Services;Performance/Reporting;Deliverables;15;;2026-03-29 15:28:19.368+00;2026-03
Develop image ad creative package;DocLib - Ongoing Services;Design/Creative;Deliverables;10;;2026-03-29 15:00:54.386+00;2026-03
Manage ABM (March);BioSafe - Marketing services;ABM;Deliverables;10;;2026-03-27 21:44:26.051+00;2026-03
Manage content (March);BioSafe - Marketing services;Content Creation;Deliverables;10;;2026-03-27 21:44:09.08+00;2026-03
Manage paid media (March);BioSafe - Marketing services;Paid Media;Deliverables;8;;2026-03-27 21:42:32.131+00;2026-03
Manage performance reporting (March);BioSafe - Marketing services;Performance/Reporting;Deliverables;5;;2026-03-27 21:42:28.671+00;2026-03
Set up campaign [Lockton People & Culture Event];PTO Exchange - Marketing Services;Paid Media;Deliverables;10;;2026-03-27 21:36:50.65+00;2026-03
Standalone short video - client request;ThreatMark - Marketing services;Video;Deliverables;15;1.0;2026-03-27 19:48:43.289+00;2026-03
Facilitate Client Meetings (March);Milestone Towers - Ongoing Marketing Services;Account Management;Deliverables;18;;2026-03-27 19:36:18.591+00;2026-03
Set up content & create graphics package;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;Tech Stack/Ops;Deliverables;15;;2026-03-27 18:49:04.346+00;2026-03
Facilitate Client Meetings (March);Verisk - Marketing services;Account Management;Deliverables;10;;2026-03-27 17:47:15.228+00;2026-03
Create an Interview Video;VITAL - Marketing services;Video;Deliverables;15;;2026-03-27 17:36:11.942+00;2026-03
Facilitate Client Meetings (March);Hydrian - Marketing services;Account Management;Deliverables;10;;2026-03-27 16:50:07.349+00;2026-03
Tech stack [March];Ecosystems - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;9;;2026-03-27 16:38:13.09+00;2026-03
Tech stack (March);Hydrian - Marketing services;Tech Stack/Ops;Deliverables;21;;2026-03-27 16:37:47.344+00;2026-03
Develop Paid Media Plan Document;Rezku POS - Ongoing Services - Post AGE;Paid Media;Deliverables;15;;2026-03-27 15:18:23.852+00;2026-03
Manage paid media (March);Rezku POS - Ongoing Services - Post AGE;Paid Media;Deliverables;8;;2026-03-27 15:02:29.756+00;2026-03
Develop ebook w/ design for Bazaarvoice Summit + sales messaging;Bazaarvoice - Content marketing services;Content Creation;Deliverables;35;;2026-03-27 11:58:36.317+00;2026-03
Facilitate Client Meetings [March];Ecosystems - Ongoing Marketing Services;Account Management;Deliverables;10;;2026-03-27 11:29:10.411+00;2026-03
Develop ABM Plan Document [Security Companies];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;30;;2026-03-27 00:01:19.306+00;2026-03
Tech stack - March;WeFixFreight - Marketing services;Tech Stack/Ops;Deliverables;5;;2026-03-26 22:10:15.168+00;2026-03
Manage paid media - March;WeFixFreight - Marketing services;Paid Media;Deliverables;8;;2026-03-26 22:10:11.069+00;2026-03
Manage paid media - March;ThreatMark - Marketing services;Paid Media;Deliverables;8;;2026-03-26 21:46:38.744+00;2026-03
Tech Stack - March;ThreatMark - Marketing services;Tech Stack/Ops;Deliverables;16;;2026-03-26 21:44:00.258+00;2026-03
Set up paid media;ThreatMark - Marketing services;Paid Media;Deliverables;5;;2026-03-26 21:42:02.815+00;2026-03
Facilitate Client Meetings - March;ThreatMark - Marketing services;Account Management;Deliverables;10;;2026-03-26 19:46:46.02+00;2026-03
Update LinkedIn Campaign Graphics;ThreatMark - Marketing services;Design/Creative;Deliverables;;;2026-03-26 18:22:12.909+00;2026-03
Facilitate Client Meetings (March);NEACH - Content marketing services;Account Management;Deliverables;5;;2026-03-26 13:15:13.545+00;2026-03
Facilitate Client Meetings (March);Inside Tracker - Podcast services;Account Management;Deliverables;5;;2026-03-26 13:15:10.529+00;2026-03
Manage social (March);VITAL - Marketing services;Content Creation;Deliverables;10;;2026-03-26 12:34:38.474+00;2026-03
Facilitate Client Meetings (March);VITAL - Marketing services;Account Management;Deliverables;2;;2026-03-26 12:34:25.286+00;2026-03
Develop thought leadership blog post - How do window AC units work (Deprioritized);Rod Miller - Content marketing services;Content Creation;Deliverables;0;;2026-03-26 09:44:59.07+00;2026-03
Manage web (March);Wilburn - Content marketing services;Web Development;Deliverables;5;;2026-03-25 19:39:41.891+00;2026-03
Manage web (March);Rod Miller - Content marketing services;Web Development;Deliverables;5;;2026-03-25 19:32:53.226+00;2026-03
Meeting: Reporting & Dashboard Training;PTO Exchange - Marketing Services;Performance/Reporting;Deliverables;2;;2026-03-25 19:08:37.844+00;2026-03
Develop SEO blog post - Professional office cleaning;Wilburn - Content marketing services;SEO/AEO;Deliverables;10;;2026-03-25 16:55:04.703+00;2026-03
Develop simple newsletter template;Milestone Towers - Ongoing Marketing Services;Content Creation;Deliverables;5;;2026-03-25 15:13:58.574+00;2026-03
Optimize SEO web page - Tissue Digester;BioSafe - Marketing services;SEO/AEO;Deliverables;18;;2026-03-25 15:03:53.709+00;2026-03
Update Meta descriptions - Custom Applications;BioSafe - Marketing services;SEO/AEO;Deliverables;2;;2026-03-25 15:01:25.879+00;2026-03
Create SEO blog inspired by transcript - thermal treatment;BioSafe - Marketing services;SEO/AEO;Deliverables;10;;2026-03-25 15:00:55.026+00;2026-03
Set up website URL mapping (redirects);Rugged Robotics - Marketing services;Web Development;Deliverables;3;;2026-03-25 14:00:41.778+00;2026-03
Develop product overview video;Ease - Podcast Services;Video;Deliverables;35;;2026-03-25 12:35:28.242+00;2026-03
Facilitate Client Meetings (March);Syncro - Content marketing services;Account Management;Deliverables;2;;2026-03-25 11:56:53.494+00;2026-03
[OPS] Set up HubSpot: 1:1 ABM Campaign;PTO Exchange - Marketing Services;Tech Stack/Ops;Deliverables;10;;2026-03-24 21:49:21.92+00;2026-03
[Content] Manage content - (March);Washington Speakers Bureau - Ongoing Marketing Services;Content Creation;Deliverables;20;;2026-03-24 20:18:18.346+00;2026-03
Develop web page;DocLib - Ongoing Services;Web Development;Deliverables;12;;2026-03-24 18:23:57.986+00;2026-03
Develop graphics package for Bazaarvoice Summit - video ads;Bazaarvoice - Content marketing services;Design/Creative;Deliverables;25;;2026-03-24 15:25:51.285+00;2026-03
[Leadership Lessons] Develop Content, Paid & Distribution Plan Document;Washington Speakers Bureau - Ongoing Marketing Services;Strategy/Research;Deliverables;20;;2026-03-24 15:17:11.31+00;2026-03
Set up ABM [ATX: Customer Value Community Executive Forum];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;10;;2026-03-24 15:01:15.939+00;2026-03
Manage paid media (March);Rod Miller - Content marketing services;Paid Media;Deliverables;8;;2026-03-24 11:40:01.147+00;2026-03
Develop social content - (March);BioSafe - Marketing services;Content Creation;Deliverables;8;;2026-03-23 21:20:51.704+00;2026-03
Tech stack (March);VITAL - Marketing services;Tech Stack/Ops;Deliverables;9;;2026-03-23 16:23:39.936+00;2026-03
Tech stack (March);Bazaarvoice - Content marketing services;Tech Stack/Ops;Deliverables;6;;2026-03-23 16:20:25.688+00;2026-03
[Operations] Develop Marketing Operations Plan;Washington Speakers Bureau - Ongoing Marketing Services;Tech Stack/Ops;Deliverables;50;;2026-03-23 15:52:02.786+00;2026-03
Set up LinkedIn Campaign – Spotlights & Success Stories;ThreatMark - Marketing services;Paid Media;Deliverables;8;;2026-03-23 15:40:06.253+00;2026-03
Develop slide deck or presentation - MLA Deck;Milestone Towers - Ongoing Marketing Services;Design/Creative;Deliverables;15;;2026-03-23 08:41:06.41+00;2026-03
Develop web page [Utilization Benchmark for IT Consultancies];Data Assessment Solutions - Ongoing Marketing Services;Web Development;Deliverables;12;;2026-03-23 08:33:32.092+00;2026-03
Develop ABM Plan Document;AutoBytes - 2026 Services;ABM;Deliverables;30;;2026-03-22 19:06:54.807+00;2026-03
ECRI - Blog Post Copy - Implications of underreporting falls in nursing homes;ECRI - 3 blog post content bundle;Content Creation;Deliverables;6;;2026-03-21 02:11:58.827+00;2026-03
Meeting: Brainstorming & Strategy Session;Ricoh - Marketing services;Strategy/Research;Deliverables;2;;2026-03-20 16:57:45.887+00;2026-03
Set Up ABM;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;ABM;Deliverables;10;;2026-03-20 16:34:17.043+00;2026-03
Set up ABM;Rezku POS - Ongoing Services - Post AGE;ABM;Deliverables;10;;2026-03-20 16:19:31.429+00;2026-03
86e0aw9xk - NEACH - Payments on Tap - Mark Dixon Part 1;NEACH - Content marketing services;Podcast;Deliverables;10;;2026-03-20 13:21:54.69+00;2026-03
Website Messaging Audit;Milestone Towers - Ongoing Marketing Services;Strategy/Research;Deliverables;15;;2026-03-20 11:25:21.77+00;2026-03
Facilitate Client Meetings (March);Tyfone - Content marketing services;Account Management;Deliverables;5;;2026-03-20 11:24:10.77+00;2026-03
Develop dynamic outreach sequence [Healthcare ABM 1:Few];PTO Exchange - Marketing Services;ABM;Deliverables;8;;2026-03-19 21:13:50.734+00;2026-03
Set up pizza expo ads;Rezku POS - Ongoing Services - Post AGE;Paid Media;Deliverables;;;2026-03-19 19:46:37.156+00;2026-03
Develop interactive calculator;Rezku POS - Ongoing Services - Post AGE;Web Development;Deliverables;8;;2026-03-19 19:46:20.161+00;2026-03
Develop Performance Reporting Plan Document;Rezku POS - Ongoing Services - Post AGE;Performance/Reporting;Deliverables;20;;2026-03-19 19:22:02.039+00;2026-03
Develop Social Plan Document;Milestone Towers - Ongoing Marketing Services;Content Creation;Deliverables;15;;2026-03-19 17:39:15.538+00;2026-03
Develop dynamic outreach sequence (x3);DocLib - Ongoing Services;ABM;Deliverables;24;;2026-03-19 17:01:36.58+00;2026-03
Develop Paid Media Plan Document;DocLib - Ongoing Services;Paid Media;Deliverables;15;;2026-03-19 16:51:42.503+00;2026-03
Develop dynamic outreach sequence - ABM;Hydrian - Marketing services;ABM;Deliverables;8;;2026-03-19 16:39:25.678+00;2026-03
Develop Performance Reporting Plan Document;DocLib - Ongoing Services;Performance/Reporting;Deliverables;20;;2026-03-19 16:17:54.586+00;2026-03
Create speaking highlight video - Josh's CUES Presentation;Tyfone - Content marketing services;Video;Deliverables;15;;2026-03-19 16:14:22.532+00;2026-03
Distribute blog - You’re Not Overworked. You’re Over-Involved.;VITAL - Marketing services;Content Creation;Deliverables;;;2026-03-19 16:05:11.267+00;2026-03
Distribute blog - Profit on Paper. Broke in the Bank;VITAL - Marketing services;Content Creation;Deliverables;;;2026-03-19 16:04:49.923+00;2026-03
Distribute Episode Keith Smith;Tyfone - Content marketing services;Podcast;Deliverables;3;;2026-03-19 13:00:16.072+00;2026-03
Distribute Episode Derrick Aguilar;Tyfone - Content marketing services;Podcast;Deliverables;3;;2026-03-19 12:54:19.622+00;2026-03
Distribute Episode Kosta Scholiadis;Tyfone - Content marketing services;Podcast;Deliverables;3;;2026-03-19 12:53:53.474+00;2026-03
Update Sales Guide [RICOH ProcessDirector];Ricoh - Marketing services;Content Creation;Deliverables;8;;2026-03-19 09:50:09.174+00;2026-03
Develop Marketing Roadmap Document;RoboHead - Aligned Growth Engine Launch;Strategy/Research;Deliverables;40;;2026-03-19 01:28:50.846+00;2026-03
Develop dynamic outreach sequences (3);Rezku POS - Ongoing Services - Post AGE;ABM;Deliverables;24;;2026-03-18 20:25:41.127+00;2026-03
Develop Performance Reporting Plan Document;Ecosystems - Ongoing Marketing Services;Performance/Reporting;Deliverables;20;;2026-03-18 20:24:23.682+00;2026-03
Develop image ad creative package - Pizza expo;Rezku POS - Ongoing Services - Post AGE;Design/Creative;Deliverables;10;;2026-03-18 20:05:30.945+00;2026-03
Develop Brand Guidelines Document;AutoBytes - 2026 Services;Design/Creative;Deliverables;20;;2026-03-18 19:04:31.011+00;2026-03
Resolve GTM & CIPA Compliance;ThreatMark - Marketing services;Tech Stack/Ops;Deliverables;2;;2026-03-18 17:31:06.639+00;2026-03
Update image ad creatives;Rezku POS - Ongoing Services - Post AGE;Design/Creative;Deliverables;;;2026-03-18 16:48:01.142+00;2026-03
86e0afr03 - Tyfone - Digital Banking Podcast - JB Orecchia;Tyfone - Content marketing services;Podcast;Deliverables;14;;2026-03-18 08:08:55.618+00;2026-03
[Content] A1 Athletes Newsletter Recommendations;Washington Speakers Bureau - Ongoing Marketing Services;Content Creation;Deliverables;1;;2026-03-17 21:46:20.436+00;2026-03
86e0bjmay - Unspoken Security- Unspoken Security - Erin West;AJ Nash - Podcast services;Podcast;Deliverables;12;;2026-03-17 21:11:54.282+00;2026-03
86e09j2eu - VITAL - The Flywheel Effect - Parker Cox;VITAL - Marketing services;Podcast;Deliverables;10;;2026-03-17 20:28:33.148+00;2026-03
Set up & launch ABM;Planon - Marketing Services;ABM;Deliverables;10;;2026-03-17 20:22:30.247+00;2026-03
Develop an sales enablement PDF [Prospect-Facing One-Pager];iCorps - Marketing Services;Content Creation;Deliverables;8;;2026-03-17 19:50:36.04+00;2026-03
Set up Channel Partners Campaign;PTO Exchange - Marketing Services;ABM;Deliverables;10;;2026-03-17 18:33:40.642+00;2026-03
Set up paid media - ABM;Planon - Marketing Services;Paid Media;Deliverables;5;;2026-03-17 17:50:59.693+00;2026-03
Facilitate Client Meetings;Rezku POS - Ongoing Services - Post AGE;Account Management;Deliverables;5;;2026-03-17 15:10:28.228+00;2026-03
Distribute Episode Frank Hopkins;Tyfone - Content marketing services;Podcast;Deliverables;3;;2026-03-17 12:39:14.493+00;2026-03
Distribute Episode Barath Narayanan;Tyfone - Content marketing services;Podcast;Deliverables;3;;2026-03-17 12:28:50.213+00;2026-03
Develop dynamic outreach sequence [Security Companies];Ecosystems - Ongoing Marketing Services;ABM;Deliverables;8;;2026-03-17 04:14:57.177+00;2026-03
Optimize Existing SEO Article;Global Shared Services - Marketing Services;SEO/AEO;Deliverables;5;;2026-03-16 21:29:21.182+00;2026-03
List of Waste Processors;BioSafe - Marketing services;Other;Deliverables;;;2026-03-16 19:28:14.323+00;2026-03
Update Meta descriptions - EDS;BioSafe - Marketing services;SEO/AEO;Deliverables;2;;2026-03-16 19:15:24.657+00;2026-03
