Date Added,Notes / Updates,Status,Client,Contract ID,Type,Title
1/22/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/SoAEdWbqivxE
 ( done updating the Disable Comments,HubSpot All-In-One Marketing - Forms, Popups, Live Chat,Redirection,WPCode Lite,WPS Hide Login,Yoast SEO,Yoast SEO Premium )
 Update Themes: all themes are up-tpdate - https://prnt.sc/SoAEdWbqivxEv
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/Izb_fupbbwDK
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-communityit-com/dj65luy88v?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/oe1ydp3VJ3pj
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - When hovering the Get Started button text, the text is not visible https://prnt.sc/U-G3iQeRiRUt
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,COMMUNITY IT,MID202510020,web,Weekly Web Maintenance
2/5/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/AO3zQGDYDcUL
 ( Done updating HubSpot All-In-One Marketing - Forms, Popups, Live Chat,Solid Security Basic,Theme Switcha,Yoast SEO,Yoast SEO Premium)
 Update Themes: all themes are up-tpdate - https://prnt.sc/AO3zQGDYDcUL
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/CCmf9FCAa4j_
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) -https://pagespeed.web.dev/analysis/https-communityit-com/2hz1e5nrak?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/USvqZrNwC8lh
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - When hovering the Get Started button text, the text is not visible https://prnt.sc/U-G3iQeRiRUt
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,COMMUNITY IT,MID202510020,web,Weekly Web Maintenance
2/19/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/RAj_NkNeUx2P
 ( Done updating Ajax Search Lite,Solid Security Basic,WPCode Lite,Yoast SEO,Yoast SEO Premium )
 Update Themes: all themes are up-tpdate - https://prnt.sc/RAj_NkNeUx2P
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/x_bvi2LonG8A
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-communityit-com/znt379lt1y?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/FFQkWTlY25Mo
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - When hovering the Get Started button text, the text is not visible https://prnt.sc/U-G3iQeRiRUt
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,COMMUNITY IT,MID202510020,web,Weekly Web Maintenance
1/14/2026,"Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/BpczcV69Pnkd
 ( Done updating Post Snippets (free) )
 Search & Filter Pro we need license key to able to update the plugin
 Update Themes: all themes are up-tpdate - https://prnt.sc/BpczcV69Pnkd
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/DuLYar9lfpDJ
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-thecrowleycompany-com/fxsjfpcnsu?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually.
 
 Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site -https://prnt.sc/4zkU7nuzEFkx
 Manual UX Pass: upon checking all the pages, all buttons and forms are working
 -Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,CROWLEY,MID202510017,web,Weekly Web Maintenance
1/28/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/c203oH9xECsN
 ( Done updating UTM Event Tracker and Analytics,WP Rollback )
 - Search & Filter Pro - we need licence key to able to update the plugin
 Update Themes: all themes are up-tpdate - https://prnt.sc/c203oH9xECsN
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/IiGfUokVgH1F
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-thecrowleycompany-com/182nsnv7c0?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/PaQ9OqWLX-44
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,CROWLEY,MID202510017,web,Weekly Web Maintenance
2/11/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/c203oH9xECsN
 ( Done updating UTM Event Tracker and Analytics,WP Rollback )
 - Search & Filter Pro - we need licence key to able to update the plugin
 Update Themes: all themes are up-tpdate - https://prnt.sc/c203oH9xECsN
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/IiGfUokVgH1F
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-thecrowleycompany-com/182nsnv7c0?form_factor=desktop
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/PaQ9OqWLX-44
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,CROWLEY,MID202510017,web,Weekly Web Maintenance
1/9/2026,"- Plugin 301 Redirects updated to 2.82. version
 - Plugin Elementor updated to 3.34.1. version
 - Plugin Yoast SEO updated to 26.7. version
 - Plugin Gravity Forms updated to 2.9.25. version
 
 Plugins are up to date both on stating and production website. WordPress version is the latest one. 
 
 Security scan didn't find any issue at all.",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/13/2026,"Updates:
 - Plugin 301 Redirects updated to 2.83. version
 
 Other plugins are up to date both on stating and production website. WordPress version is the latest one. 
 
 Security scan didn't find any issue at all.",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/16/2026,Review: After reviewing the website on desktop and mobile I didn't find any issues,Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/20/2026,"Updates:
 
 - Elementor plugin updated to version 3.34.2 
 - Elementor PRO plugin updated to version 3.34.1 
 - Yoast SEO plugin updated to version 26.8
 
 WordPress is up to date.
 No issues after plugin updates.
 Security scanner didn't find any issue",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/28/2026,"Updates:
 
 - Elementor plugin updated to version 3.34.3
 - Elementor PRO plugin updated to version 3.34.3
 - Gravity Forms plugin updated to version 2.9.26.
 - Post Types Order plugin updated to version 2.4.3
 
 WordPress is up to date.
 No issues after plugin updates.
 Security scanner didn't find any issue",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/30/2026,Review: After reviewing the website on desktop and mobile I didn't find any issues,Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
2/5/2026,"Updates:
 - WordPress updated to 6.9.1
 
 - Elementor plugin updated to version 3.35.3
 - Yoast SEO plugin updated to version 26.9
 - WP Fastest Cache plugin updated to version 1.4.6
 
 Security scan didn't find any issue at all.",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
2/12/2026,"Updates:
 - Cookie Notice & Compliance for GDPR / CCPA plugin updated to version 2.5.12
 - Elementor plugin updated to version 3.35.4
 - Elementor PRO plugin updated to version 3.35.1
 - Gravity Forms plugin updated to version 2.9.27.
 
 No issues after plugin updates after expecting website
 
 Security scan didn't find any issue at all.",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
2/19/2026,"WordPress up to date
 
 Updates:
 - Elementor plugin updated to version 3.35.5
 - Yoast SEO plugin updated to 27.0
 
 No issues after plugin updates after expecting website
 
 Security scan didn't find any issue at all.",Published,FoxyAI,MID20252051,web,Weekly Web Maintenance
1/8/2026,"1. Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/nktUoIbmXACx
 ( done updating the Elementor, Secure Custom Fields, Yoast SEO )
 Update Themes: all themes are up-tpdate - https://prnt.sc/nktUoIbmXACx
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 2. Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/w8D3u_ebsKXq
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 3. Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-gsslp-com/d0rh4cwnki?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually. 
 
 4. Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site - https://prnt.sc/OVqwZLqV2uQx
 Manual UX Pass: upon checking all the pages, all buttons and forms are working 
 - Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 5. Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,GLOBAL SHARED SERVICE,MID20259442,web,Weekly Web Maintenance
1/14/2026,"Updates
 Update Plugins: all plugins are up-to-date - https://prnt.sc/dmqxllrLjPMP
 ( Done updating Gravity Forms )
 Update Themes: all themes are up-tpdate - https://prnt.sc/dmqxllrLjPMP
 Update PHP Version (When Applicable): PHP version is up-to-date
 
 Security & File Access
 Review Security Status: No Malware Found and Site is not Blacklisted - https://prnt.sc/S2izJE3cJsvB
 Remove Server File Manager Plugins (If Found): WP File Manager” not existed in the site
 
 Performance
 Run Speed Test: Here’s the updated score from Pagespeed Insights (PASSED) - https://pagespeed.web.dev/analysis/https-gsslp-com/fj7x4a0d2k?form_factor=desktop
 Resolve Performance Bottlenecks: Re-configure WP Rocket settings and improve First Contentful Paint, Total Blocking Time and Largest Contentful Paint manually.
 
 Link & UX Checks
 Run Broken Link Checker: Removed internal broken links from the site -https://prnt.sc/rAuAeuOMCZ4F
 Manual UX Pass: upon checking all the pages, all buttons and forms are working
 Everything looks fine
 Responsive Review: Everything looks fine in mobile version
 
 Backup & Reporting
 Verify Backup Status: Confirm WP Remote shows recent backups with no errors.
 Run Manual Backup (Before Major Updates): If major updates are planned, run a manual backup first.
 Review or Send Client Report (If Required): If enabled, check that reports are sending correctly and reflect accurate update/backup info.",Published,GLOBAL SHARED SERVICE,MID20259442,web,Weekly Web Maintenance
