contract_name,contract_status,contract_type,contract_start_date,contract_end_date,contract_renewal_date,contract_description,amount,quickbooks_customer_id,quickbooks_business_unit_id,external_id,deal_id,engagement_type,payment_type,monthly_points_allotment,priority,customer_display_type,hosting,account_manager,team_manager,clickup_folder_id,slack_channel_internal,slack_channel_external,dollar_per_hour,autorenewal,initial_term_length,subsequent_term_length,notice_period,next_invoice_date
Kersten Talent Capital - Aligned Growth Engine Ongoing Services,active,recurring,2025-11-13,,,Kersten Talent Capital - Aligned Growth Engine Ongoing Services,8000,2186,193514801304854,MID20256525,46794722862,strategic,invoice,100,Tier 4,points,false,89312700,89288697,90173953398,,,,false,365,365,45,2026-02-01
Encamp - Ebook Designs,pending,project,2025-11-05,,,Ebook designs for two key deliverables,3000,58,9341454074930384,MID20254794,48171775030,tactical,invoice,0,Tier 1,points,false,60810284,60810284,,,,,false,,,,
Gallagher & Mohan - Aligned Growth Engine Launch,inactive,project,2025-11-12,,,Gallagher & Mohan - Aligned Growth Engine Launch,0,2189,193514801304854,MID20252000,45664271499,strategic,invoice,0,Tier 1,points,false,60810281,60810284,90173686601,,,,false,,,,
Aquatic Informatics - Additional Q4 Marketing Services Support,active,project,2025-11-01,,,Additional support for Q4 marketing activities,12000,2185,193514801304854,MID20254834,46997573430,tactical,invoice,0,Tier 3,points,false,95153711,89288697,90173553916,,,,false,,,,2025-11-01
Magnalign - Video Project Bundle,active,project,2025-10-28,,,Magnalign - Video Project Bundle,13500,2187,193514801304854,MID20258018,43739929877,tactical,invoice,0,Tier 3,points,false,89312700,50351772,90173466176,,,,false,,,,
Bionomous - Aligned Growth Engine Launch,inactive,project,2025-10-24,,,Bionomous Aligned Growth Engine Launch,0,,9341454074930384,MID20256341,45748739381,strategic,invoice,0,Tier 1,points,false,60810284,60810284,90173403282,,,,false,,,,
Kersten Talent Capital - Aligned Growth Engine Launch,inactive,project,2025-10-22,,,Aligned Growth Engine Launch,6000,2186,193514801304854,MID20253604,45725819544,strategic,invoice,60,Tier 1,points,false,60810284,60810284,90173365046,,,,false,,,,
Lumen5 - Show Notes,pending,project,2025-11-01,,,10 Show Notes,2000,,9341452190397078,MID20252351,45894056034,tactical,invoice,20,Tier 4,points,false,89321438,60810281,,,,,false,,,,
Powerhouse Gym - Hubspot Reseller,active,recurring,2025-03-25,,,Resold Hubspot,181.5,,193514801304854,MID20258655,34639415820,tactical,invoice,0,Tier 4,points,true,60810284,60810284,,,,,false,365,0,0,
Ponce Bank - Hubspot Reseller Deal,active,recurring,2025-06-27,,,Referral commission for reselling Hubspot,1178.87,,193514801304854,MID20253745,39040542594,tactical,invoice,0,Tier 4,points,true,60810284,60810284,,,,,false,365,0,0,
Adorama Business Solutions - Initial Contract,pending,recurring,2025-09-22,,,Adorama Business Solutions - Initial Contract,6300,,193514801304854,MID20254683,43715516006,tactical,invoice,63,Tier 1,points,false,60810284,60810284,,,,,true,30,30,30,
MONTICELLOAM - Aligned Growth Engine Launch,inactive,project,2025-09-18,,,Aligned Growth Engine Launch,0,,193514801304854,MID20253679,43694829316,strategic,invoice,0,Tier 1,points,false,60810284,60810284,90172690314,,,,false,,,,
Magnalign - Aligned Growth Engine,inactive,project,2025-09-18,,,Aligned Growth Engine,0,2181,193514801304854,MID20255806,40474701716,strategic,invoice,0,Tier 1,points,false,60810284,60810284,90172685647,,,,false,,,,
Data Assessment Solutions - Ongoing Marketing Services,active,recurring,2025-09-16,,,ABM; content for the U.S. market,8000,2179,193514801304854,MID20255120,43542904929,strategic,invoice,80,Tier 4,points,false,89230992,89288697,90172685723,,,,true,90,90,-30,2026-02-01
Aquatic Informatics - Hubspot Implementation,active,recurring,2025-10-21,,,Hubspot implementation,10000,2185,193514801304854,MID20252924,43098985042,strategic,invoice,100,Tier 3,points,false,95153711,89288697,90173310160,,,,true,180,90,-45,2026-02-01
Data Assessment Solutions - Aligned Growth Engine,inactive,project,2025-08-27,,,Aligned Growth Engine launch.,0,,193514801304854,MID20251898,41953535554,strategic,invoice,0,Tier 1,points,false,89321438,89288697,90172650172,,,,false,,,,
ECRI - Whitepaper - Virtual Roundtables,inactive,project,2025-08-20,,,7000 designed white paper,0,,9341452190397078,MID20252540,41659516525,tactical,invoice,0,Tier 4,points,false,50351772,50351772,90172636086,,,,false,,,,
Ecosystems - Aligned Growth Engine,active,project,2025-08-08,,,This will be an Aligned Growth Engine. We're doing it for $0 so we'll need to credit 80 (60?) points to them. This will have massive upside and will be spearheaded by Tristan and Justin.,0,2174,193514801304854,MID20253508,40445863050,strategic,invoice,0,Tier 1,points,false,60810284,60810281,90172614805,,,,false,,,,
Friends & Family Capital,inactive,project,2025-08-01,,,Repurposing a webinar Based on conversations and information shared by Friends & Family Capital; we have prepared a  list of priorities for this content marketing services proposal. Services will include the following:  Intro/outro + intro/outro animations Graphics package Full length edited version Short clips for social,2000,903,123145757279014,MID20258111,39892885600,tactical,invoice,20,Tier 4,points,false,50351772,50351772,90172614095,,,,false,,,,
Savvy Source - Monthly marketing services,inactive,recurring,2025-08-01,,,ABM; content; reporting,4000,2162,193514801304854,MID20253882,40852271013,strategic,invoice,60,Tier 2,points,false,89281182,89158970,90172589972,,,,true,90,90,-15,2025-11-01
Chetu - Monthly Marketing Services,pending,recurring,2025-08-01,,,Webinar and Influencer Strategies.,30000,2159,193514801304854,MID20253005,39015463566,strategic,invoice,300,Tier 1,points,false,50351772,50351772,XXXXXXXXXXX,,,,false,90,30,-15,
Caxton - Podcast series,pending,project,2025-08-01,,,A set of 12 podcast episodes to support a NYT book,12000,902,,MID20258984,34631459448,tactical,invoice,0,Tier 1,points,false,50351772,50351772,XXXXXXXXXXX,,,,false,,,,
Ease - Content marketing services,active,recurring,2025-07-17,,,Additional content services,5000,889,123145757279014,MID20255660,39333709418,tactical,invoice,55,Tier 4,points,false,89312700,50351772,90172586528,,,,true,90,90,-45,2025-08-01
Ponce Bank - Website design and development,active,project,2025-07-11,,,Develop new website (using Hubspot as the CMS),0,61,9341454074930384,MID20251069,35627608989,tactical,invoice,0,Tier 4,points,false,95153711,89288697,90172561600,,,,false,,,,2026-01-15
Savvy Source - Aligned Growth Engine,inactive,project,2025-06-30,,,Discounted AGe,4000,2162,193514801304854,MID20258017,38791325452,strategic,invoice,0,Tier 1,points,false,60810284,60810281,90172542989,,,,false,,,,
Ponce Bank - Creative; Digital; and Website Retainer,active,recurring,2025-07-01,,,Creative; digital and website retainer services,8750,61,9341454074930384,MID20258718,35617639566,tactical,invoice,87,Tier 4,hours,false,95153711,89288697,90172534599,,,175,false,365,0,90,2026-02-01
LiveRecover - Marketing services,canceled,recurring,2025-06-26,,,Ongoing marketing services,7000,2153,193514801304854,MID20256195,36988018797,strategic,invoice,70,Tier 4,points,false,89288697,89288697,90172531060,,,,true,180,180,-45,2025-10-01
Finfare - Campaign management retainer,canceled,recurring,2025-06-12,,,Campaign management,5250,51,9341454074930384,MID20253135,34743588098,tactical,invoice,52.5,Tier 4,points,false,89305543,89288697,XXXXXXXXXXX,,,,false,203,0,-30,2025-08-22
Finfare - Creative services retainer,canceled,recurring,2025-06-12,,,Creative services,5250,51,9341454074930384,MID20251925,34740228782,tactical,invoice,52.5,Tier 4,hours,false,89305543,89288697,90172504974,,,175,false,203,0,-30,2025-07-22
Encamp - Brand activation project,active,project,2025-06-12,,,Brand activation project,0,58,9341454074930384,MID20257475,38465587247,tactical,invoice,0,Tier 4,points,false,89383198,50351772,90172504180,,,,false,,,,2025-07-01
Voyage Vet Advisors - Video Project,pending,project,2025-06-15,,,Video project,4500,42,9341452190397078,MID20254476,38591271227,tactical,invoice,0,Tier 1,points,false,60810281,60810281,XXXXXXXXXXX,,,,false,,,,
Chetu - Aligned growth engine,inactive,project,2025-06-09,,,Aligned growth engine leading to the long-term engagement,0,2159,193514801304854,MID20253337,37936566866,strategic,invoice,0,Tier 1,points,false,60810284,60810281,90172509652,,,,false,,,,
Summa SCI - Aligned Growth Engine,canceled,project,2025-05-21,,,Aligned growth engine project designed to turn into a long term engagement,0,2154,193514801304854,MID20251755,35447504774,strategic,invoice,0,Tier 1,points,false,89298465,60810281,90172466103,,,,false,,,,
LiveRecover - Aligned Growth Engine,inactive,project,2025-05-13,,,An AGE client for $0 designed to turn into a longer term agreement.,0,2153,193514801304854,MID20259155,36402520580,strategic,invoice,0,Tier 1,points,false,89298465,60810281,90172427572,,,,false,,,,
Enki - Aligned Growth Engine,inactive,project,2035-05-29,,,Initial contract / deal for the Aligned Growth Engine; we are doing this to win the longer term engagement.,0,2152,193514801304854,MID20251093,37360291636,strategic,invoice,0,Tier 1,points,false,89298465,60810281,90172472743,,,,false,,,,
ECRI - 3 blog post content bundle,active,project,2025-05-27,,,10 Principles of Systems Thinking (starts on slide 68) 14 Design Heuristics (rules of thumb) (starts on slide 41) 5 Rules of Thinking Like a Human Factors Engineer (starts on slide 115),1800,36,9341452190397078,MID20259220,37157807129,tactical,invoice,0,Tier 4,points,false,89321438,50351772,90172469558,,,,false,0,0,0,
Noetic - Aligned Growth Engine,inactive,project,2024-12-22,,,Aligned growth engine,8000,2101,193514801304854,MID20256815,29418410521,strategic,invoice,0,Tier 4,points,false,,,,,,,false,,,,
Agrippon - Marketing services,active,recurring,2025-06-01,,,Stuff,5000,2144,193514801304854,MID20258909,36987863846,strategic,invoice,50,Tier 4,points,false,89230992,89288697,90172414537,,,,true,180,90,-45,2026-02-01
Finfare - Brand activation project,inactive,project,2025-03-26,,,Brand activation project; including website development,0,51,9341454074930384,MID20252352,34606799704,tactical,invoice,0,Tier 4,points,false,89305543,89288697,90172306400,,,,false,,,,2025-07-17
RapidSOS - Podcast production services,canceled,recurring,2024-01-18,,,Podcast production services,2500,892,123145757279014,MID20259483,21821110335,tactical,credit_card,25,Tier 4,points,false,50351772,50351772,,,,,true,90,90,-45,
Modis Dental - Podcast production services,canceled,recurring,2024-04-01,,,3 shows; 3 episodes per month,4500,868,123145757279014,MID20253091,XXXXXXXXXX,tactical,invoice,45,Tier 4,points,false,89312700,50351772,90020895770,,,,true,90,90,-45,2026-01-01
24-7 Dance - Hosting,active,recurring,2024-01-01,,,Website hosting plan,50,1382,193514801304854,MID202510021,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Atlanta Micro - Hosting,active,recurring,2024-01-17,,,Website hosting plan,100,237,193514801304854,MID202510019,XXXXXXXXXXX,tactical,invoice,1,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2027-01-01
Baseline Technologies - Hosting,active,recurring,2024-03-13,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1OtuMIEIu4BG5ePBc7QHjIcs,200,372,193514801304854,MID202510002,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Bel Air Construction - Hosting,canceled,recurring,2024-01-24,,,Website Care Plan: Hosting & Updates,200,268,193514801304854,MID202510012,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Bill Hall DDS - Hosting,active,recurring,2024-02-22,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1OmhKuEIu4BG5ePBf7WOXJMO,200,2149,193514801304854,MID202510013,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Classic Home Advisors - Hosting,active,recurring,2021-05-01,,,Website hosting plan,50,1414,193514801304854,MID202510024,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2026-05-01
Community IT - Hosting,active,recurring,2024-01-18,,,Website hosting plan,295,1319,193514801304854,MID202510020,XXXXXXXXXXX,tactical,invoice,3,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2027-01-01
Conklyn and Kemp - Hosting,active,recurring,2021-04-01,,,Website hosting plan,50,1413,193514801304854,MID202510022,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2026-04-01
Crowley Company - Hosting,active,recurring,2024-01-18,,,Website hosting plan,350,391,193514801304854,MID202510017,XXXXXXXXXXX,tactical,invoice,3.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2027-01-01
Dedicated Tanker Group - Hosting,active,recurring,2024-03-14,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1OuJI8EIu4BG5ePB91jKqVun,100,1296,193514801304854,MID202510016,XXXXXXXXXXX,tactical,credit_card,1,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Edgewater Federal - Hosting,active,recurring,2024-01-18,,,Website hosting plan,545,1335,193514801304854,MID202510018,XXXXXXXXXXX,tactical,invoice,5.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2026-03-01
Engage - Hosting,active,recurring,2024-01-17,,,Launchr Website Hosting https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1QiNc4EIu4BG5ePBLZQPUwLu,50,172,193514801304854,MID202510014,XXXXXXXXXXX,tactical,credit_card,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Face Works Events - Hosting,active,recurring,2021-07-01,,,Website hosting plan,50,1579,193514801304854,MID202510026,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Fairway - Hosting,active,recurring,2024-02-04,,,Launchr Website Hosting (Billed as Sarahfina Perry) https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1QiMGUEIu4BG5ePBMrdb1P5n,50,1457,193514801304854,MID202510005,XXXXXXXXXXX,tactical,credit_card,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Fairway - Hosting,canceled,recurring,2024-02-04,,,Launchr Website Hosting,100,1457,193514801304854,MID202510009,XXXXXXXXXXX,tactical,credit_card,1,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Fairway - Hosting,canceled,recurring,2024-02-04,,,Launchr Website Hosting,50,1457,193514801304854,MID202510007,XXXXXXXXXXX,tactical,credit_card,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
FFNP - Hosting,active,recurring,2024-03-05,,,Launchr Website Hosting https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Or4vaEIu4BG5ePBQsMs6Z4f,50,1790,193514801304854,MID202510004,XXXXXXXXXXX,tactical,credit_card,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Franconia Group - Hosting,active,recurring,2021-04-01,,,Website hosting plan,50,1441,193514801304854,MID202510029,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Interfaith Housing - Hosting,active,recurring,2021-07-01,,,Website hosting plan,50,1454,193514801304854,MID202510028,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Just Win Consulting - Hosting,active,recurring,2025-01-31,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1QnVDHEIu4BG5ePBfQP9D19k,200,2078,193514801304854,MID202510008,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Logistics Lighting - Hosting,inactive,recurring,2024-02-15,,,Website Care Plan: Hosting & Updates,200,303,193514801304854,MID202510015,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
RD Law Firm - Hosting,active,recurring,2024-02-14,,,Website Care Plan: Hosting & Updates,200,1983,193514801304854,MID202510001,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Reliant Drywall - Hosting,active,recurring,2024-02-26,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Oo69IEIu4BG5ePBXfXuRqkd,200,191,193514801304854,MID202510010,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Ripaus - Hosting,active,recurring,2024-03-07,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Orn6iEIu4BG5ePBfqa0ih8X,200,2148,193514801304854,MID202510003,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Signature Space - Hosting,active,recurring,2021-05-01,,,Website hosting plan,50,1521,193514801304854,MID202510027,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Teletrust - Hosting,canceled,recurring,2022-04-01,,,Website hosting plan,50,1455,193514801304854,MID202510023,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
The Manor - Hosting,active,recurring,2021-10-01,,,Website hosting plan,50,1623,193514801304854,MID202510025,XXXXXXXXXXX,tactical,invoice,0.5,Tier 4,points,true,67296059,55396562,,,,,true,365,365,-30,2026-10-01
True Standard Distilling - Hosting,active,recurring,2024-06-25,,,Website Care Plan: Hosting & Updates https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1PVa6LEIu4BG5ePBPMM2d95V,200,1998,193514801304854,MID202510011,XXXXXXXXXXX,tactical,credit_card,2,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
White House Nannies - Hosting,active,recurring,2024-03-01,,,Advanced Hosting Package https://dashboard.stripe.com/acct_1NiRVqEIu4BG5ePB/subscriptions/sub_1Opf95EIu4BG5ePBbcp7fUDI,145,158,193514801304854,MID202510006,XXXXXXXXXXX,tactical,credit_card,1.45,Tier 4,points,true,67296059,55396562,,,,,true,30,30,-30,
Zive - Creative; digital; website,inactive,recurring,2025-07-22,,,Creative; digital; website,6125,16,9341454074930384,MID20257774,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89321438,89158970,90172248213,,,175,false,93,0,-30,2025-10-22
TrueNAS - Campaign retainer,canceled,recurring,2025-04-09,,,Campaign management,5250,45,9341454074930384,MID20253841,29946860205,tactical,invoice,52.5,Tier 1,points,false,89302316,89305543,90172342794,,,,false,90,0,-14,
TrueNAS - Creative; digital; website,canceled,recurring,2025-02-03,,,Creative; digital; website,6125,45,9341454074930384,MID20253027,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89302316,89305543,90172248209,,,175,false,90,0,0,
Symbotic - Creative; digital; website,canceled,recurring,2024-02-12,,,Creative; digital; website,4375,15,9341454074930384,MID20259683,XXXXXXXXXXX,tactical,invoice,43.75,Tier 4,hours,false,89319925,67296059,90172248207,,,175,false,0,0,0,2025-06-21
Rugged Robotics - Creative; digital; web,inactive,recurring,2024-12-31,,,Rugged Robotics would like to extend their existing Creative; Digital; and Website retainer titled: 'Rugged_Robotics_Ideometry_Retainer_Agreement.pdf' signed on 1/4/24 by Rob Schnitzler.,6125,14,9341454074930384,MID20259572,XXXXXXXXXXX,tactical,invoice,61.25,Tier 2,hours,false,95153711,60810284,90172248206,,,175,false,365,0,-60,2025-12-22
Realtime Robotics - Creative; digital; website,canceled,recurring,2025-01-01,,,The client would like to retain the agency to perform creative; digital; and website services from the period starting January 1; 2025 and ending June 30; 2025. During the retainer period; the agency agrees to devote up to thirty-five (35) hours per month on assignments determined by the client (limited to the list of services below). Work priority and scheduling will be at the discretion of the client. Work will normally occur between the hours of 9 AM to 5 PM ET on weekdays (Monday through Friday). Project estimates are not guaranteed and it is possible that any project/task will take shorter or longer than the estimate provided. Client shall be charged based on the actual number of hours worked rather than the estimate.,6125,13,9341454074930384,MID20252473,XXXXXXXXXXX,tactical,invoice,61.25,Tier 1,hours,false,89302316,89305543,90172248194,,,175,false,180,0,-60,
Realtime Robotics - Brand activation project,inactive,project,2024-12-02,,,The Brand Activation Project is a comprehensive marketing project that includes the development of a revised brand; messaging; and website.,38475,13,9341454074930384,MID20258089,XXXXXXXXXXX,tactical,invoice,0,Tier 4,points,false,89302316,89305543,90172248146,,,,false,,,,
Powerhouse Gym - Creative; digital; website services,active,recurring,2025-05-01,,,Creative services,5075,17,9341454074930384,MID20258726,XXXXXXXXXXX,tactical,invoice,50.75,Tier 4,hours,false,89383198,89288697,90172248189,,,175,false,426,0,-60,2026-01-22
FoxyAI - Creative; digital; web services,active,recurring,2024-06-25,,,Creative services,3500,11,9341454074930384,MID20252051,XXXXXXXXXXX,tactical,invoice,35,Tier 4,hours,false,89312700,89288697,90172248186,,,175,false,0,0,0,2026-01-22
Evolv - Campaign retainer,canceled,recurring,2025-01-01,,,Evolv Technology would like to retain Ideometry to perform ongoing campaign management; optimization; and reporting for paid digital marketing campaigns from the period January 1; 2025; to December 31; 2025. Work priority and scheduling will be at the discretion of Evolv Technology. Work will normally occur between the hours of 9AM to 5PM on weekdays (Monday through Friday).,6250,9,9341454074930384,MID20254465,XXXXXXXXXXX,tactical,invoice,62.5,Tier 1,points,false,89319925,89305543,90172248182,,,,false,120,0,-30,
Evolv - Creative; digital; web services,canceled,recurring,2025-07-07,,,Evolv Technology would like to retain Ideometry to perform crea- tive; digital and website services from the period January 8; 2025; to June 30; 2025. During the retainer period Ideometry agrees to devote up to one hundred (100) hours per month on assignments determined by Evolv Technology (limited to the list of services below). Work priority and scheduling will be at the discretion of Evolv Technology. Work will normally occur between the hours of 9AM to 5PM on weekdays (Monday through Friday).,1650,9,9341454074930384,MID20257404,XXXXXXXXXXX,tactical,invoice,10,Tier 4,hours,false,89312700,89288697,90172248181,,,165,false,177,0,-30,2026-01-01
Cybernetix - Creative; digital; website services,active,recurring,2024-06-07,,,Creative; digital; website services,0,59,9341454074930384,MID20259055,XXXXXXXXXXX,tactical,invoice,25,Tier 4,hours,false,89312700,50351772,90172248173,,,175,false,0,0,0,
Cyberhaven - Campaign management,canceled,recurring,2025-04-01,,,Campaign management services,5250,10,9341454074930384,MID20255007,XXXXXXXXXXX,tactical,invoice,52.5,Tier 1,points,false,89319925,67296059,90172248170,,,175,false,275,0,-15,2025-06-21
Cyberhaven - Field marketing creative; digital; website retainer,inactive,recurring,2025-04-01,,,Field marketing creative; digital; website services,4375,10,9341454074930384,MID20257890,34825436966,tactical,invoice,43.75,Tier 4,hours,false,89391258,89288697,90172318951,,,175,false,275,0,-15,2025-06-21
Cyberhaven - Creative; digital; website retainer,canceled,recurring,2025-04-01,,,Creative; digital; website services,6125,10,9341454074930384,MID20257266,34825436966,tactical,invoice,61.25,Tier 4,hours,false,89391258,89288697,90172248168,,,175,false,275,0,-15,2025-06-21
Bionomous - Brand activation project,inactive,project,2024-10-13,,,The Brand Activation Project is a comprehensive marketing project that includes the development of a revised brand; messaging; and collateral and website.,0,44,9341454074930384,MID20258057,XXXXXXXXXXX,tactical,invoice,0,Tier 4,points,false,89305543,89305543,90172256798,,,,false,,,,
Beamable Network - Website project,inactive,project,2025-04-17,,,Beamable is seeking a full rebuild of the Beamable.Network website to migrate it from its current rigid architecture to a more flexible and user-friendly CMS; such as WordPress. The goal is to empower the marketing team to make updates independently; while modernizing the site's look and ensuring it remains true to Beamable's overall brand.,13750,46,9341454074930384,MID20253346,35872380560,tactical,invoice,0,Tier 4,points,false,50351772,50351772,90172368083,,,,false,,,,
Beamable - Creative; Digital and Website Retainer,canceled,recurring,2025-03-01,,,GTM engineering and digital marketing services,6125,46,9341454074930384,MID20259213,33456565413,tactical,invoice,61.25,Tier 1,hours,false,89292512,89319924,90172263214,,,175,false,90,0,0,
Beamable - Video project,inactive,project,2025-03-03,,,Ideometry will partner with Beamable to develop a series of five (5) custom motion graphic animation videos designed to maintain a cohesive; branded visual identity. These videos will serve as engaging; high-impact assets for use across the website; email marketing; and both organic and paid media campaigns. Each video will be approximately 60 seconds in length; following a structured production process that ensures strategic alignment while maintaining a cohesive narrative and brand aesthetic across the series. The videos will share a consistent design language; visual elements; and motion style to reinforce brand continuity.,0,46,9341454074930384,MID20257238,33899245451,tactical,invoice,0,Tier 4,points,false,50351772,50351772,90172262591,,,,false,,,,
